zip,city,state,type
02132,West Roxbury,MA,STANDARD
02133,Boston,MA,STANDARD
02134,Allston,MA,STANDARD
02135,Brighton,MA,STANDARD
02136,Hyde Park,MA,STANDARD
02137,Readville,MA,PO BOX
02138,Cambridge,MA,STANDARD
02139,Cambridge,MA,STANDARD
02140,Cambridge,MA,STANDARD
02141,Cambridge,MA,STANDARD
02142,Cambridge,MA,STANDARD
02143,Somerville,MA,STANDARD
02144,Somerville,MA,STANDARD
02145,Somerville,MA,STANDARD
02148,Malden,MA,STANDARD
02149,Everett,MA,STANDARD
02150,Chelsea,MA,STANDARD
02151,Revere,MA,STANDARD
02152,Winthrop,MA,STANDARD
02153,Medford,MA,PO BOX
02155,Medford,MA,STANDARD
02156,West Medford,MA,PO BOX
02163,Boston,MA,STANDARD
02169,Quincy,MA,STANDARD
02170,Quincy,MA,STANDARD
02171,Quincy,MA,STANDARD
02176,Melrose,MA,STANDARD
02180,Stoneham,MA,STANDARD
02184,Braintree,MA,STANDARD
02185,Braintree,MA,PO BOX
02186,Milton,MA,STANDARD
02187,Milton Village,MA,PO BOX
02188,Weymouth,MA,STANDARD
02189,East Weymouth,MA,STANDARD
02190,South Weymouth,MA,STANDARD
02191,North Weymouth,MA,STANDARD
02196,Boston,MA,PO BOX
02199,Boston,MA,STANDARD
02201,Boston,MA,UNIQUE
02203,Boston,MA,STANDARD
02204,Boston,MA,UNIQUE
02205,Boston,MA,PO BOX
02206,Boston,MA,UNIQUE
02207,Boston,MA,UNIQUE
02210,Boston,MA,STANDARD
02211,Boston,MA,UNIQUE
02212,Boston,MA,UNIQUE
02215,Boston,MA,STANDARD
02216,Boston,MA,UNIQUE
02217,Boston,MA,UNIQUE
02222,Boston,MA,STANDARD
02228,East Boston,MA,PO BOX
02238,Cambridge,MA,PO BOX
02239,Cambridge,MA,UNIQUE
02241,Boston,MA,UNIQUE
02266,Boston,MA,UNIQUE
02269,Quincy,MA,PO BOX
02283,Boston,MA,PO BOX
02284,Boston,MA,PO BOX
02293,Boston,MA,UNIQUE
02295,Boston,MA,UNIQUE
02297,Boston,MA,UNIQUE
02298,Boston,MA,PO BOX
02301,Brockton,MA,STANDARD
02302,Brockton,MA,STANDARD
02303,Brockton,MA,PO BOX
02304,Brockton,MA,PO BOX
02305,Brockton,MA,PO BOX
02322,Avon,MA,STANDARD
02324,Bridgewater,MA,STANDARD
02325,Bridgewater,MA,UNIQUE
02327,Bryantville,MA,PO BOX
02330,Carver,MA,STANDARD
02331,Duxbury,MA,PO BOX
02332,Duxbury,MA,STANDARD
02333,East Bridgewater,MA,STANDARD
02334,Easton,MA,PO BOX
02337,Elmwood,MA,PO BOX
02338,Halifax,MA,STANDARD
02339,Hanover,MA,STANDARD
02340,Hanover,MA,UNIQUE
02341,Hanson,MA,STANDARD
02343,Holbrook,MA,STANDARD
02344,Middleboro,MA,UNIQUE
02345,Manomet,MA,PO BOX
02346,Middleboro,MA,STANDARD
02347,Lakeville,MA,STANDARD
02348,Lakeville,MA,UNIQUE
02349,Middleboro,MA,UNIQUE
02350,Monponsett,MA,PO BOX
02351,Abington,MA,STANDARD
02355,North Carver,MA,PO BOX
02356,North Easton,MA,STANDARD
02357,North Easton,MA,UNIQUE
02358,North Pembroke,MA,PO BOX
02359,Pembroke,MA,STANDARD
02360,Plymouth,MA,STANDARD
02361,Plymouth,MA,PO BOX
02362,Plymouth,MA,PO BOX
02364,Kingston,MA,STANDARD
02366,South Carver,MA,PO BOX
02367,Plympton,MA,STANDARD
02368,Randolph,MA,STANDARD
02370,Rockland,MA,STANDARD
02375,South Easton,MA,STANDARD
02379,West Bridgewater,MA,STANDARD
02381,White Horse Beach,MA,PO BOX
02382,Whitman,MA,STANDARD
02420,Lexington,MA,STANDARD
02421,Lexington,MA,STANDARD
02445,Brookline,MA,STANDARD
02446,Brookline,MA,STANDARD
02447,Brookline Village,MA,PO BOX
02451,Waltham,MA,STANDARD
02452,Waltham,MA,STANDARD
02453,Waltham,MA,STANDARD
02454,Waltham,MA,PO BOX
02455,North Waltham,MA,PO BOX
02456,New Town,MA,PO BOX
02457,Babson Park,MA,PO BOX
02458,Newton,MA,STANDARD
02459,Newton Center,MA,STANDARD
02460,Newtonville,MA,STANDARD
02461,Newton Highlands,MA,STANDARD
02462,Newton Lower Falls,MA,STANDARD
02464,Newton Upper Falls,MA,STANDARD
02465,West Newton,MA,STANDARD
02466,Auburndale,MA,STANDARD
02467,Chestnut Hill,MA,STANDARD
02468,Waban,MA,STANDARD
02471,Watertown,MA,PO BOX
02472,Watertown,MA,STANDARD
02474,Arlington,MA,STANDARD
02475,Arlington Heights,MA,PO BOX
02476,Arlington,MA,STANDARD
02477,Watertown,MA,UNIQUE
02478,Belmont,MA,STANDARD
02479,Waverley,MA,PO BOX
02481,Wellesley Hills,MA,STANDARD
02482,Wellesley,MA,STANDARD
02492,Needham,MA,STANDARD
02493,Weston,MA,STANDARD
02494,Needham Heights,MA,STANDARD
02495,Nonantum,MA,PO BOX
02532,Buzzards Bay,MA,STANDARD
02534,Cataumet,MA,PO BOX
02535,Chilmark,MA,STANDARD
02536,East Falmouth,MA,STANDARD
02537,East Sandwich,MA,STANDARD
02538,East Wareham,MA,STANDARD
02539,Edgartown,MA,STANDARD
02540,Falmouth,MA,STANDARD
02541,Falmouth,MA,PO BOX
02542,Buzzards Bay,MA,STANDARD
